상품명,링크,가격
"삼성전자 갤럭시북 이온 NT950XCJ-K78A (i7-10510U 39.6cm), 포함, NVMe 256GB + NVMe 256GB, 16GB",https://www.coupang.com/vp/products/1137914312?itemId=2517400150&vendorItemId=70510368267&sourceType=srp_product_ads,1959000
"LG전자 울트라 PC 노트북 14U390-EE1TK 화이트 (인텔 셀러론 N4100 35.5cm), eMMc 64GB + SSD 128GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1149803634?itemId=2123503405&vendorItemId=70122096043,449000
"디클 클릭북 D14u (Celeron N4100 35.8cm WIN 10 eMMC 64GB), 로즈골드, 키스킨 랜덤 발송 + 유선마우스 + 패드",https://www.coupang.com/vp/products/232787159?itemId=1069768320&vendorItemId=5557944105,382900
"LG전자 2019 울트라 PC 노트북 15U490-GR36K 퓨어 화이트 (R3-2300U 39.6cm), SSD 128GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1662958560?itemId=902674367&vendorItemId=5270923865,639000
"이태원클라쓰북 그램스타일 노트북 풀패키지미개봉 8세대 13.3IPS FHD 윈10탑재, 그레이, NB133LTN40 [SDD256G+32G]",https://www.coupang.com/vp/products/322895378?itemId=1034232763&vendorItemId=5485152332&sourceType=srp_product_ads,379000
"삼성전자 2020 갤럭시북 플렉스 NT950QCG-X716A (i7-1065G7 39.6cm MX250), NVMe 1TB, 16GB, WIN10 Home",https://www.coupang.com/vp/products/1665581271?itemId=2097952137&vendorItemId=70096835256&sourceType=srp_product_ads,2599000
"아이뮤즈 노트북 STORMBOOK (N3350 35.8cm WIN10 Graphics 500) + MS오피스, 포함, eMMC 64GB, 4GB",https://www.coupang.com/vp/products/1348981530?itemId=2376867898&vendorItemId=70372433503,264620
"레노버 노트북 V14-ARE 82DQ003AKR (R5-4500U 35.56cm WIN미포함), 미포함, NVMe 256GB, 8GB",https://www.coupang.com/vp/products/1676672325?itemId=2856499922&vendorItemId=70845799284,459000
"HP 프리미엄 비즈니스 컨버터블 노트북 EliteBook x360 1030 G4 8RB44PA (i7-8565U 33.8cm WIN10 16G 512NVME), 혼합 색상",https://www.coupang.com/vp/products/340923510?itemId=1085297527&vendorItemId=5591634569&sourceType=srp_product_ads,1469000
"LG전자 울트라 PC 노트북 14U390-EE1TK 화이트 (인텔 셀러론 N4100 35.5cm), eMMc 64GB, 4GB, Win10 S",https://www.coupang.com/vp/products/1149803634?itemId=2023248867&vendorItemId=70022894899,389300
"디클 클릭북 노트북 D141+ IPS (Atom-Z8350F 35.6cm eMMC 32G), 2GB, WIN10S, 화이트",https://www.coupang.com/vp/products/1214484733?itemId=101580567&vendorItemId=3189257704,224090
"LG전자 2019 울트라 PC 노트북 15UD490-GX36K 퓨어 화이트 (라이젠3-2300U 39.6cm), SSD 128GB, 4GB, Free DOS",https://www.coupang.com/vp/products/1662968739?itemId=864896538&vendorItemId=70101476067,482420
"삼성전자 노트북 플러스 NT550XCR-AD1A 플래티넘 티탄 (Celeron 5205U 39.6cm), NVMe 128GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1460148774?itemId=2512339822&vendorItemId=70505369047,649000
"LG전자 2020년 그램17 노트북 17ZD90N-VX5BK (i5-1035G7 43.1cm), NVMe 256GB, 8GB, Free DOS",https://www.coupang.com/vp/products/1098837642?itemId=2057725149&vendorItemId=70056999452&pickType=COU_PICK,1530400
"에이수스 비보북 15 라이젠 노트북 X512DA-CP473T 슬레이트 그레이 (WIN10 Home 39.6cm RAM 4GB), R3-3200U, SSD 128GB, Vega 3 Graphics",https://www.coupang.com/vp/products/1473554077?itemId=2532637388&vendorItemId=70525387531,519000
"LG전자 울트라 PC 노트북 14U390-EE1TK 화이트 (인텔 셀러론 N4100 35.5cm), eMMc 64GB + SSD 512GB, 8GB, Win10 S",https://www.coupang.com/vp/products/1149803634?itemId=2236151520&vendorItemId=70233671747,526660
"삼성 노트북 코어i5 SSD128G 지포스탑재 NT200B5B 블랙, 8GB, SSD256G, 윈도우10",https://www.coupang.com/vp/products/1681782369?itemId=2864761058&vendorItemId=70854002042,349000
"삼성전자 Flash 노트북 NT530XBB-K24CS (펜티엄 소프트 코랄 N5000 33.7cm), SSD 128GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1343396630?itemId=2479485490&vendorItemId=70366810842,679000
"에이수스 ROG G731GT-H7147 (코어i5-9300H 43.9cm WIN 미포함 GeForce GTX1650), SSD 512GB, 8GB",https://www.coupang.com/vp/products/1235492283?itemId=2230014769&vendorItemId=70227622040,988300
"삼성전자 노트북 플러스 NT550XCR-AD1WA 화이트 (Celeron 5205U 39.6cm), NVMe 128GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1569440286?itemId=2683713021&vendorItemId=70674218446,649000
"LG 그램 14Z950 5세대 i5 14인치 윈도우10, 8GB, SSD256GB, 포함",https://www.coupang.com/vp/products/1204709580?itemId=2190569755&vendorItemId=70838434885,649000
"LG전자 울트라 PC 노트북 14U390-EE1TK 화이트 (인텔 셀러론 N4100 35.5cm), eMMc 64GB + SSD 128GB, 8GB, Win10 S",https://www.coupang.com/vp/products/1149803634?itemId=2236152297&vendorItemId=70233671738,477280
"HP 노트북 스노우화이트 15s-eq0138AU (라이젠5-3500U 39.6cm WIN미포함 RX Vega 8), 미포함, 512GB SSD, 8GB",https://www.coupang.com/vp/products/1688097342?itemId=2875073528&vendorItemId=70864234759,560000
"디클 클릭북 D14u (Celeron N4100 35.8cm WIN 10 eMMC 64GB), 실버, 키스킨 랜덤 발송 + 유선마우스 + 패드",https://www.coupang.com/vp/products/232787159?itemId=1069768315&vendorItemId=5557944092,382900
"Apple 2020 맥북 에어 13, Space gray, 10세대 i3-1.1GHz dual-core, SSD 256GB, 8GB",https://www.coupang.com/vp/products/1395425733?itemId=2430730742&vendorItemId=70424683916,1219490
"에이수스 노트북 X409MA-EB099 (셀러론 N4000 35.56cm), 미포함, NVMe 256GB, 4GB",https://www.coupang.com/vp/products/1689550335?itemId=2877314671&vendorItemId=70866457235,329000
"HP ENVY X360 컨버터블 노트북 13-ar0152AU (라이젠5 3500U 33.7cm WIN10 Home 라데온 Vega8) + USB C TO MULTI 커넥터 + 스타일 액티브 펜, 포함, SSD 256GB, 8GB",https://www.coupang.com/vp/products/1238385665?itemId=2233977554&vendorItemId=70231540803,977890
"LG전자 그램14 노트북 (35.5cm WIN미포함 SSD128G), 팬티엄 5405U, 4GB",https://www.coupang.com/vp/products/295405591?itemId=937488039&vendorItemId=5321345002,835300
"HP 라이젠 노트북 네추럴실버 15s-eq0081AU (AMD 라이젠7 3700U 39.62cm IPS광시야각 Radeon Vega10 WIN미포함), 미포함, NVMe 256GB, 8GB",https://www.coupang.com/vp/products/1423337469?itemId=2462364073&vendorItemId=70455841974,609300
"LG전자 2020 그램15 터치 15ZD90N-HX56K (i5-1035G7 아이스레이크 39.6cm), NVMe 256GB, 8GB, Free DOS",https://www.coupang.com/vp/products/1098859005?itemId=2057748657&vendorItemId=70057022740,1481500
"LG전자 울트라PC 노트북 14U390-EE2TK (인텔 펜티엄 실버 N5000 35.5cm WIN10S), 포함, SSD 512GB + eMMC 64GB, 8GB",https://www.coupang.com/vp/products/1685583701?itemId=2871011864&vendorItemId=70860216234,600600
"레노버 ideapad S540-14API METAL WIN10 노트북 81NH000YKR (라이젠 5 3500U 35.5cm), 256GB, 8GB, WIN10 Home",https://www.coupang.com/vp/products/250836081?itemId=791952178&vendorItemId=5009714384,678900
"삼성전자 2020 갤럭시북 플렉스 NT950QCG-X716A (i7-1065G7 39.6cm MX250), NVMe 1TB, 16GB, WIN10 Home",https://www.coupang.com/vp/products/1665581271?itemId=2097952137&vendorItemId=70096835256,2599000
"에이수스 VivoBook S14 노트북 드리미 실버 S433FL-EB167 (i5-10210U 35.56cm WIN미포함 GeForce MX250), 미포함, NVMe 512GB, 8GB",https://www.coupang.com/vp/products/1661534094?itemId=2831043979&vendorItemId=70820487958,804300
"레노버 Ideapad Slim3-15IIL 5W 노트북 어비스블루 81WE0031KR (i5-1035G4 39.6cm WIN10 Home), 포함, NVMe 256GB, 4GB",https://www.coupang.com/vp/products/1716826912?itemId=2922055096&vendorItemId=70910682885,699000
"삼성전자 Flash 노트북 NT530XBB-K24WS 화이트 (펜티엄 실버 N5000 33.7cm), SSD 128GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1431681975?itemId=2370841286&vendorItemId=70366810908,679000
